id;track_name;size_bytes;currency;price;rating_count_tot;rating_count_ver;user_rating;user_rating_ver;ver;cont_rating;prime_genre;sup_devices.num;ipadSc_urls.num;lang.num;vpp_lic
281656475;PAC-MAN Premium;100788224;USD;3.99;21292;26;4;4.5;6.3.5;4;Games;38;5;10;1
281796108;Evernote - stay organized;158578688;USD;0;161065;26;4;3.5;8.2.2;4;Productivity;37;5;23;1
281940292;WeatherBug - Local Weather, Radar, Maps, Alerts;100524032;USD;0;188583;2822;3.5;4.5;5.0.0;4;Weather;37;5;3;1
282614216;eBay: Best App to Buy, Sell, Save! Online Shopping;128512000;USD;0;262241;649;4;4.5;5.10.0;12;Shopping;37;5;9;1
282935706;Bible;92774400;USD;0;985920;5320;4.5;5;7.5.1;4;Reference;37;5;45;1
283619399;Shanghai Mahjong;10485713;USD;0.99;8253;5516;4;4;1.8;4;Games;47;5;1;1
283646709;PayPal - Send and request money safely;227795968;USD;0;119487;879;4;4.5;6.12.0;4;Finance;37;0;19;1
284035177;Pandora - Music & Radio;130242560;USD;0;1126879;3594;4;4.5;8.4.1;12;Music;37;4;1;1
284666222;PCalc - The Best Calculator;49250304;USD;9.99;1117;4;4.5;5;3.6.6;4;Utilities;37;5;1;1
284736660;Ms. PAC-MAN;70023168;USD;3.99;7885;40;4;4;4.0.4;4;Games;38;0;10;1
284791396;Solitaire by MobilityWare;49618944;USD;4.99;76720;4017;4.5;4.5;4.10.1;4;Games;38;4;11;1
284815117;SCRABBLE Premium;227547136;USD;7.99;105776;166;3.5;2.5;5.19.0;4;Games;37;0;6;1
284876795;TripAdvisor Hotels Flights Restaurants;207907840;USD;0;56194;87;4;3.5;21.1;4;Travel;37;1;26;1
284882215;Facebook;389879808;USD;0;2974676;212;3.5;3.5;95;4;Social Networking;37;1;29;1
284910350;Yelp - Nearby Restaurants, Shopping & Services;167407616;USD;0;223885;3726;4;4.5;11.15.0;12;Travel;37;5;18;1
284993459;Shazam - Discover music, artists, videos & lyrics;147093504;USD;0;402925;136;4;4.5;11.0.3;12;Music;37;3;16;1
285005463;Crash Bandicoot Nitro Kart 3D;10735026;USD;2.99;31456;4178;4;3.5;1.0.0;4;Games;47;0;1;1
285946052;iQuran;70707916;USD;1.99;2929;966;4.5;4.5;3.3;4;Reference;43;0;2;1
285994151;:) Sudoku +;6169600;USD;2.99;11447;781;5;5;5.2.6;4;Games;40;5;1;1
286058814;Yahoo Sports - Teams, Scores, News & Highlights;130583552;USD;0;137951;131;4;4.5;6.9;4;Sports;37;2;6;1
286070473;Mileage Log | Fahrtenbuch;71203840;USD;5.99;8;0;4.5;0;9.0.5;4;Business;37;5;3;1
286799607;Cleartune - Chromatic Tuner;11423008;USD;3.99;3241;297;4;4;2.1.3;4;Music;43;2;10;1
290986013;Deliveries: a package tracker;30016512;USD;4.99;4684;10;4;4;8.0.3;4;Utilities;37;4;9;1
291430598;Hurricane Pro;29518848;USD;2.99;2104;0;4.5;0;5.2;17;Weather;37;0;1;1
292421271;Fieldrunners;66872320;USD;2.99;41633;6;4;3;1.7.177604;9;Games;37;0;1;1
292628469;Juxtaposer;45229056;USD;2.99;3610;7;4.5;5;3.8.2;4;Photo & Video;37;5;1;1
292738169;Deezer - Listen to your Favorite Music & Playlists;127470592;USD;0;4677;12;3;4;6.19.0;12;Music;37;5;21;1
293118835;iStellar;44241920;USD;3.99;30;0;3.5;0;2.9.0;4;Navigation;37;0;2;0
293523031;Sonos Controller;107983872;USD;0;48905;2691;4.5;4.5;7.2;4;Music;37;4;12;1
293573778;Avertinoo;8044544;USD;4.99;32;0;3;0;3.9.2;4;Navigation;38;5;7;1
293622097;Google Earth;37214208;USD;0;446185;1359;3.5;3.5;7.1.6;4;Travel;43;5;30;1
293760823;iFart - The Original Fart Sounds App;60320768;USD;1.99;21825;10;3;4;4.0.8;9;Entertainment;37;5;1;1
293778748;PAC-MAN;100849664;USD;0;508808;99;3;4.5;6.3.5;4;Games;38;5;10;1
294056623;FOX Sports Mobile;72748032;USD;0;57500;103;3;4;3.5.13;4;Sports;37;0;1;0
294536447;First Words Animals;32164864;USD;1.99;2576;4;4;5;7;4;Games;38;5;1;1
294631159;WeatherPro;69079040;USD;1.99;1572;34;4;4.5;4.8.2;4;Weather;37;0;13;1
294934058;HotSchedules;82037760;USD;2.99;3292;2;3;5;4.56.1;4;Business;37;2;2;1
295430577;Star Walk - Find Stars And Planets in Sky Above;150195200;USD;4.99;8932;55;4.5;5;7.2.3;4;Education;37;0;12;1
295646461;The Weather Channel: Forecast, Radar & Alerts;199734272;USD;0;495626;5893;3.5;4.5;8.11;4;Weather;37;0;33;1
295759189;Big Day - Event Countdown;13156352;USD;0.99;812;14;3;4;8.2.0;4;Lifestyle;38;0;7;1
295775656;12 Steps AA Companion - Alcoholics Anonymous;30367744;USD;2.99;1583;2;3.5;4.5;2.5.9.2;12;Lifestyle;37;5;1;1
296581815;OpenTable - Restaurant Reservations;93420544;USD;0;113936;150;4.5;5;10.18.0;4;Food & Drink;37;1;6;1
297244048;VLC Remote;31505408;USD;4.99;2027;2;4;5;9.3;4;Entertainment;37;5;33;1
